title,price,brand,latitude,longitude,location
Costco Casuarina,163.7,Costco,-32.233481,115.853714,SOR
Costco Perth Airport,163.7,Costco,-31.940377,115.951869,SOR
United Perth Airport,165.5,United,-31.956366,115.969749,SOR
Liberty Tapping,165.5,Liberty,-31.720162,115.783898,NOR
United Tapping,165.5,United,-31.719744,115.783408,NOR
Vibe Kwinana OPT,165.7,Vibe,-32.245503,115.78259,SOR
Atlas Fuel Ascot,165.9,Atlas,-31.925213,115.951987,SOR
Liberty Naval Base,167.5,Liberty,-32.197618,115.783018,SOR
Vibe Ascot,167.7,Vibe,-31.935968,115.934361,SOR
NightOwl Shell Redcliffe,167.9,Shell,-31.929508,115.945947,SOR
Atlas Fuel Kwinana,167.9,Atlas,-32.235848,115.780215,SOR
Burk Alkimos,168.3,Burk,-31.628239,115.69118,NOR
United Southern River,168.5,United,-32.121136,115.954582,SOR
United South Lake,168.5,United,-32.111481,115.838833,SOR
Vibe Canning Vale,168.7,Vibe,-32.075096,115.922947,SOR
United Maddington,168.9,United,-32.042356,115.99131,SOR
United Hepburn Heights,168.9,United,-31.81889,115.774096,NOR
Vibe Kwinana,169.3,Vibe,-32.247525,115.773262,SOR
X Convenience Alkimos,169.3,X Convenience,-31.621433,115.688754,NOR
Liberty Beckenham,169.5,Liberty,-32.022054,115.954779,SOR
Better Choice Naval Base,169.5,Better Choice,-32.206745,115.784712,SOR
Liberty O'Connor,169.5,Liberty,-32.063065,115.792017,SOR
Liberty Banksia Grove,169.5,Liberty,-31.703225,115.798512,NOR
Vibe Morley,169.5,Vibe,-31.887832,115.889889,NOR
Vibe Welshpool,169.7,Vibe,-31.994327,115.930681,SOR
Vibe Jandakot,169.7,Vibe,-32.090758,115.868846,SOR
Puma Henderson OPT,169.7,Puma,-32.15551,115.770485,SOR
7-Eleven Cockburn Central,169.7,7-Eleven,-32.120001,115.846548,SOR
Vibe Armadale,169.7,Vibe,-32.158168,116.001834,SOR
Petro Fuels Seville Grove,169.8,Petro Fuels,-32.136834,115.980305,SOR
United Byford,169.9,United,-32.2154436,116.0080304,SOR
United Armadale,169.9,United,-32.161492,116.0176,SOR
United Anketell,169.9,United,-32.211351,115.855637,SOR
United Bibra Lake,169.9,United,-32.093798,115.802588,SOR
Ampol Foodary Ashby,169.9,Ampol,-31.73256,115.80416,NOR
United Bassendean,169.9,United,-31.905283,115.932367,NOR
EG Ampol Ellenbrook,169.9,EG Ampol,-31.780889,115.969189,NOR
United Ellenbrook,169.9,United,-31.77852,115.96699,NOR
Ampol Foodary Kingsley,169.9,Ampol,-31.807038,115.788723,NOR
7-Eleven Landsdale,169.9,7-Eleven,-31.804934,115.835741,NOR
Liberty Landsdale,169.9,Liberty,-31.802758,115.837737,NOR
United Lexia,169.9,United,-31.795189,115.899559,NOR
EG Ampol Mirrabooka,169.9,EG Ampol,-31.873567,115.861407,NOR
United Mt Lawley,169.9,United,-31.925836,115.88017,NOR
Ampol Foodary North Wanneroo,169.9,Ampol,-31.625661,115.718259,NOR
7-Eleven Banksia Grove,169.9,7-Eleven,-31.703423,115.804315,NOR
United Osborne Park,169.9,United,-31.904837,115.80609,NOR
7-Eleven Booragoon,169.9,7-Eleven,-32.039537,115.822893,SOR
EG Ampol Canning Vale,169.9,EG Ampol,-32.072873,115.925469,SOR
Atlas Fuel Welshpool,169.9,Atlas,-31.993707,115.919139,SOR
7-Eleven Thornlie,169.9,7-Eleven,-32.06954,115.952095,SOR
Ampol Foodary Thornlie,169.9,Ampol,-32.061092,115.939257,SOR
EG Ampol Southern River,169.9,EG Ampol,-32.096399,115.935881,SOR
EG Ampol South Lake,169.9,EG Ampol,-32.115172,115.837032,SOR
Ampol Foodary O'Connor,169.9,Ampol,-32.05517,115.793146,SOR
United Myaree,169.9,United,-32.046212,115.812611,SOR
Ampol Foodary South Lake,169.9,Ampol,-32.108271,115.829221,SOR
United Leda,169.9,United,-32.260187,115.806552,SOR
Ampol Foodary Kwinana,169.9,Ampol,-32.248836,115.78268,SOR
United Kewdale,169.9,United,-31.990047,115.939258,SOR
United Hamilton Hill,169.9,United,-32.074926,115.780931,SOR
Liberty Gosnells,169.9,Liberty,-32.075216,116.005816,SOR
7-Eleven Forrestdale,169.9,7-Eleven,-32.123564,115.956257,SOR
United East Victoria Park,169.9,United,-31.98781,115.905402,SOR
EG Ampol Maddington West,169.9,EG Ampol,-32.049324,115.977502,SOR
Ampol Foodary Yanchep,169.9,Ampol,-31.552063,115.639632,NOR
Vibe Kwinana Town Centre,170.5,Vibe,-32.244599,115.815592,SOR
7-Eleven Kelmscott Central,170.7,7-Eleven,-32.118987,116.017576,SOR
7-Eleven Kelmscott,170.7,7-Eleven,-32.128644,115.999775,SOR
BP Kelmscott,170.7,BP,-32.118708,116.016589,SOR
BP Langford,170.7,BP,-32.04723,115.932375,SOR
7-Eleven Bassendean,170.9,7-Eleven,-31.9063297,115.9308682,NOR
NightOwl Shell Maddington,170.9,Shell,-32.045398,115.988733,SOR
United Neerabup,170.9,United,-31.672434,115.743141,NOR
United Northbridge,170.9,United,-31.945612,115.852438,NOR
